machine_type,machine_id,filename,true_label,health_score,health_state,norm_euclidean,norm_euclidean_recomputed,dsp_group_MFCC,dsp_group_MFCC_delta,dsp_group_MFCC_delta2,dsp_group_Spectral,dsp_group_Temporal,dsp_group_Harmonic,top_embedding_dims,top_embedding_abs_z
pump,id_00,00000658.wav,normal,98.654,EXCELLENT,8.596,14.6387,0.870821,0.935926,1.10976,0.855078,0.583388,0.158967,"[42, 136, 207, 13, 22, 49, 243, 106, 50, 66, 167, 98, 8, 255, 146, 239, 19, 119, 57, 241]","[1.7299, 1.6788, 1.6757, 1.6736, 1.6443, 1.6136, 1.5782, 1.5746, 1.5217, 1.5206, 1.5188, 1.5083, 1.4929, 1.4847, 1.4724, 1.4707, 1.4686, 1.4578, 1.4577, 1.4554]"
pump,id_00,00000405.wav,normal,98.785,EXCELLENT,8.2543,9.5537,0.674919,0.581948,0.583269,0.505075,1.11793,1.313698,"[15, 224, 105, 174, 220, 216, 26, 183, 140, 193, 246, 185, 242, 241, 68, 109, 171, 82, 62, 223]","[1.5875, 1.5824, 1.5736, 1.3672, 1.3535, 1.2879, 1.2517, 1.2399, 1.223, 1.1952, 1.1586, 1.1578, 1.1454, 1.104, 1.0828, 1.0803, 1.0634, 1.0562, 1.0146, 1.0041]"
pump,id_00,00000511.wav,normal,78.3646,GOOD,20.8931,36.5591,1.056916,0.697032,0.932376,2.214476,1.364045,0.618396,"[213, 46, 215, 156, 34, 201, 123, 144, 165, 96, 92, 105, 203, 118, 184, 133, 31, 212, 89, 171]","[5.8362, 5.5714, 4.9701, 4.7269, 4.3093, 4.256, 4.228, 4.1816, 4.1091, 4.0427, 4.0052, 3.9609, 3.9565, 3.9465, 3.9439, 3.9109, 3.886, 3.8046, 3.7609, 3.7365]"
pump,id_00,00000671.wav,normal,95.0068,EXCELLENT,13.4797,7.8158,0.801757,0.487924,0.559967,0.454006,1.56518,1.872428,"[134, 224, 119, 171, 15, 181, 194, 247, 71, 28, 222, 234, 146, 240, 112, 130, 118, 160, 187, 73]","[1.1203, 1.0923, 1.0796, 1.0603, 1.0104, 0.9955, 0.994, 0.9693, 0.9685, 0.9444, 0.9309, 0.9195, 0.9118, 0.9057, 0.9009, 0.8996, 0.8967, 0.894, 0.8936, 0.8882]"
pump,id_00,00000217.wav,normal,86.8697,GOOD,18.0026,18.2575,0.878464,0.713214,0.787576,0.857498,0.822073,1.161598,"[195, 116, 216, 246, 229, 227, 109, 218, 40, 82, 47, 53, 140, 33, 69, 199, 138, 62, 248, 84]","[2.4842, 2.4284, 2.3721, 2.3284, 2.3125, 2.2968, 2.2809, 2.2669, 2.2589, 2.24, 2.2365, 2.2158, 2.1824, 2.1793, 2.129, 2.1077, 2.1042, 2.1002, 2.0796, 2.0353]"
pump,id_00,00000000.wav,abnormal,70.1107,WARNING,23.1058,17.0231,0.721346,1.150652,1.028463,0.564119,1.052414,1.741196,"[130, 63, 247, 181, 188, 175, 159, 21, 134, 71, 128, 146, 186, 2, 119, 222, 194, 12, 160, 139]","[2.3241, 2.2496, 2.2242, 2.169, 2.1649, 2.1376, 2.1204, 2.1014, 2.0618, 2.0573, 2.0123, 1.9853, 1.9763, 1.9405, 1.9391, 1.9296, 1.9292, 1.9182, 1.9128, 1.8713]"
pump,id_00,00000001.wav,abnormal,11.7069,CRITICAL,37.8934,29.4498,1.166937,0.917148,0.702036,0.416959,1.060126,1.98365,"[216, 62, 109, 195, 82, 116, 193, 140, 241, 174, 69, 129, 229, 183, 224, 246, 199, 233, 48, 42]","[4.3341, 4.2286, 4.2204, 3.78, 3.747, 3.6797, 3.6471, 3.4968, 3.4445, 3.3971, 3.3874, 3.353, 3.3395, 3.2942, 3.2928, 3.2862, 3.2328, 3.2264, 3.1922, 3.1881]"
pump,id_00,00000002.wav,abnormal,56.4603,WARNING,26.2482,16.4822,0.804667,1.192924,1.159016,0.57117,0.753807,1.440639,"[247, 21, 71, 119, 188, 146, 181, 175, 222, 186, 167, 12, 130, 85, 43, 79, 134, 63, 160, 164]","[2.1755, 2.1118, 2.1083, 2.1015, 2.0812, 2.026, 2.0194, 1.9561, 1.9528, 1.9287, 1.8856, 1.8848, 1.858, 1.8449, 1.7991, 1.7737, 1.7711, 1.7505, 1.7469, 1.7316]"
pump,id_00,00000003.wav,abnormal,23.9537,CRITICAL,33.7433,45.5166,0.765534,0.703864,0.674239,0.466426,1.051762,1.403352,"[109, 62, 183, 216, 174, 242, 69, 82, 57, 42, 185, 103, 241, 105, 195, 193, 141, 224, 7, 104]","[7.1838, 6.5254, 6.5075, 6.2737, 6.0255, 6.0167, 5.98, 5.8382, 5.7772, 5.7191, 5.7091, 5.7074, 5.5819, 5.2864, 5.2745, 5.2518, 5.089, 5.0255, 5.0159, 5.0061]"
pump,id_00,00000004.wav,abnormal,97.3936,EXCELLENT,10.9261,13.3214,0.752716,0.705998,0.769949,0.526242,0.971628,1.89869,"[167, 12, 224, 119, 222, 193, 146, 22, 129, 15, 118, 185, 160, 48, 140, 71, 21, 53, 234, 247]","[1.9008, 1.88, 1.8272, 1.8056, 1.7054, 1.7007, 1.6877, 1.6699, 1.5827, 1.5215, 1.491, 1.4841, 1.4692, 1.4629, 1.4257, 1.3763, 1.3756, 1.3635, 1.3629, 1.3383]"
pump,id_00,00000005.wav,abnormal,33.0671,CRITICAL,31.4207,44.9885,0.783134,0.860897,0.639514,0.687827,1.021843,1.499213,"[109, 183, 216, 174, 62, 224, 242, 105, 103, 193, 82, 185, 69, 241, 195, 171, 47, 42, 102, 81]","[6.7527, 6.6217, 6.3424, 6.1387, 6.1101, 6.0072, 5.8591, 5.8562, 5.7353, 5.6429, 5.6416, 5.6398, 5.5361, 5.3858, 5.2225, 5.1838, 5.0857, 5.0828, 5.008, 5.0003]"
pump,id_00,00000006.wav,abnormal,99.0808,EXCELLENT,7.3464,19.1308,1.096383,0.871645,0.71414,0.444726,0.918852,1.668511,"[53, 140, 220, 97, 58, 129, 75, 216, 224, 193, 195, 171, 248, 40, 80, 167, 152, 227, 101, 108]","[2.9424, 2.689, 2.6882, 2.616, 2.585, 2.5036, 2.4245, 2.4166, 2.4029, 2.339, 2.3376, 2.3327, 2.3081, 2.2863, 2.209, 2.2034, 2.181, 2.1605, 2.0896, 2.0785]"
pump,id_00,00000007.wav,abnormal,43.8603,CRITICAL,28.9792,35.3306,0.8542,0.761562,0.665473,0.575285,1.269519,1.956942,"[216, 109, 62, 183, 193, 224, 195, 174, 241, 242, 171, 69, 185, 82, 140, 42, 47, 105, 246, 81]","[5.164, 5.1149, 4.8094, 4.6094, 4.5401, 4.5393, 4.4857, 4.4809, 4.2977, 4.2756, 4.2362, 4.226, 4.2182, 4.1851, 4.1069, 3.9578, 3.9012, 3.8869, 3.8463, 3.7855]"
pump,id_00,00000008.wav,abnormal,95.4303,EXCELLENT,13.1131,15.8799,0.993268,1.13059,0.91298,0.560645,0.921845,1.557979,"[209, 202, 235, 248, 107, 177, 189, 5, 192, 84, 82, 123, 133, 17, 228, 9, 14, 138, 227, 229]","[1.9805, 1.9345, 1.9078, 1.9007, 1.8643, 1.8182, 1.8099, 1.7938, 1.7742, 1.7622, 1.7612, 1.7357, 1.7329, 1.7222, 1.7211, 1.6814, 1.6797, 1.6655, 1.6324, 1.6122]"
pump,id_00,00000009.wav,abnormal,47.7069,CRITICAL,28.1439,38.5668,0.776169,0.589092,0.760902,0.432837,1.244232,1.446032,"[109, 62, 82, 69, 216, 103, 174, 183, 68, 57, 241, 42, 242, 105, 7, 84, 185, 195, 246, 138]","[5.8748, 5.5508, 5.5324, 5.1718, 5.0854, 5.047, 4.9525, 4.8337, 4.8064, 4.7606, 4.698, 4.6658, 4.6099, 4.3961, 4.3603, 4.3202, 4.3129, 4.2843, 4.1582, 4.1491]"
pump,id_00,00000010.wav,abnormal,96.8889,EXCELLENT,11.5923,19.8566,1.044426,0.824335,0.974639,0.625779,0.972395,1.920823,"[248, 53, 107, 202, 209, 152, 121, 75, 177, 216, 140, 37, 30, 129, 101, 97, 133, 163, 58, 123]","[2.7371, 2.6488, 2.6233, 2.618, 2.5905, 2.5703, 2.5337, 2.5297, 2.5218, 2.4568, 2.4201, 2.3343, 2.3342, 2.3313, 2.3091, 2.2922, 2.2344, 2.2178, 2.2083, 2.19]"
pump,id_00,00000011.wav,abnormal,86.6687,GOOD,18.0834,28.6352,1.202205,1.078577,0.658145,0.624489,0.812359,1.378191,"[82, 116, 216, 109, 62, 140, 5, 229, 69, 84, 138, 103, 68, 239, 14, 199, 13, 61, 202, 152]","[4.2701, 4.108, 4.101, 3.8232, 3.7529, 3.6209, 3.4533, 3.2776, 3.2516, 3.232, 3.2204, 3.1233, 3.1033, 3.0724, 3.0537, 3.0374, 3.0343, 3.0051, 2.9868, 2.9658]"
pump,id_00,00000012.wav,abnormal,99.1876,EXCELLENT,6.9548,17.1397,1.342504,1.234061,0.794941,0.729666,1.107376,1.815079,"[22, 42, 216, 62, 241, 109, 57, 116, 242, 13, 239, 185, 136, 199, 224, 174, 167, 48, 229, 193]","[2.1044, 2.0762, 2.0649, 2.0497, 2.0422, 2.018, 1.9551, 1.9481, 1.9211, 1.9015, 1.9013, 1.8869, 1.8377, 1.8367, 1.835, 1.835, 1.8291, 1.8251, 1.7897, 1.7886]"
pump,id_00,00000013.wav,abnormal,82.4131,GOOD,19.6303,18.2649,0.837588,0.782446,0.637461,0.503454,0.805868,1.667993,"[53, 140, 129, 193, 224, 97, 216, 195, 220, 58, 75, 167, 248, 116, 48, 202, 227, 152, 246, 80]","[2.6777, 2.5931, 2.487, 2.4643, 2.362, 2.3583, 2.3152, 2.2766, 2.2732, 2.2665, 2.2072, 2.2039, 2.1635, 2.1079, 2.0906, 2.085, 2.0828, 2.01, 1.9865, 1.9738]"
pump,id_00,00000014.wav,abnormal,99.5545,EXCELLENT,5.1276,9.3563,0.671734,0.501114,0.728357,0.423935,0.818804,1.264442,"[167, 213, 224, 220, 53, 129, 193, 140, 119, 12, 15, 101, 22, 48, 26, 240, 202, 43, 211, 222]","[1.4302, 1.3514, 1.3352, 1.3267, 1.3193, 1.3121, 1.29, 1.1697, 1.1418, 1.1417, 1.1405, 1.1317, 1.1014, 1.0902, 1.0563, 1.0222, 1.0127, 1.0057, 1.0003, 0.9922]"
pump,id_02,00000095.wav,normal,98.7886,EXCELLENT,9.9132,11.6926,1.573357,1.013606,1.010687,0.691543,0.951115,0.802348,"[207, 20, 100, 60, 160, 65, 172, 42, 17, 18, 57, 250, 112, 13, 249, 89, 78, 232, 162, 151]","[1.6371, 1.5127, 1.4539, 1.4288, 1.3805, 1.3335, 1.3253, 1.318, 1.2983, 1.2854, 1.279, 1.2737, 1.2631, 1.2629, 1.2544, 1.2367, 1.2242, 1.2237, 1.2215, 1.2074]"
pump,id_02,00000417.wav,normal,82.8667,GOOD,19.2981,41.732,0.811634,0.634833,0.728908,1.28992,0.53618,0.827116,"[161, 68, 178, 114, 27, 138, 33, 45, 84, 51, 74, 52, 218, 139, 102, 246, 191, 63, 2, 174]","[5.9982, 5.9771, 5.6734, 5.4808, 5.4333, 5.2614, 5.2513, 5.1713, 5.1514, 5.0618, 5.0457, 4.9765, 4.8832, 4.8256, 4.787, 4.7695, 4.758, 4.7179, 4.6691, 4.6351]"
pump,id_02,00000565.wav,normal,16.6731,CRITICAL,33.082,26.4906,1.116176,1.117653,0.91589,1.421332,0.756736,0.943182,"[128, 60, 175, 130, 114, 249, 139, 234, 160, 151, 142, 222, 100, 232, 173, 2, 186, 178, 51, 207]","[4.2413, 4.0821, 4.0788, 3.8998, 3.8848, 3.8576, 3.7192, 3.7192, 3.6229, 3.5516, 3.5293, 3.5125, 3.4471, 3.4129, 3.2771, 3.2499, 3.2181, 3.1745, 3.1238, 3.0814]"
pump,id_02,00000014.wav,normal,93.046,EXCELLENT,15.4831,19.7603,0.928139,0.92625,0.865706,0.947058,0.788946,0.756478,"[157, 183, 190, 15, 24, 56, 118, 168, 28, 215, 76, 131, 34, 226, 110, 67, 189, 184, 36, 31]","[2.3931, 2.3283, 2.2711, 2.2411, 2.2327, 2.1587, 2.0903, 2.0647, 2.061, 2.0271, 2.019, 2.0012, 1.9992, 1.9663, 1.96, 1.9582, 1.9561, 1.9541, 1.9417, 1.9317]"
pump,id_02,00000564.wav,normal,99.5919,EXCELLENT,7.0946,12.2331,0.781135,0.655427,0.809693,0.594608,0.917541,1.032202,"[129, 48, 22, 199, 84, 195, 229, 26, 233, 167, 52, 239, 136, 241, 33, 95, 208, 27, 9, 177]","[1.736, 1.611, 1.4098, 1.3868, 1.3751, 1.3744, 1.3715, 1.3703, 1.3577, 1.3564, 1.3521, 1.3451, 1.3212, 1.3143, 1.3005, 1.3, 1.2845, 1.2757, 1.2729, 1.2666]"
pump,id_02,00000318.wav,normal,99.6838,EXCELLENT,6.4818,13.6371,0.765715,0.481281,0.663152,0.491311,0.90519,0.516041,"[148, 173, 2, 234, 27, 175, 51, 139, 134, 114, 168, 194, 187, 28, 128, 56, 142, 130, 160, 161]","[2.0565, 2.0235, 1.9552, 1.9115, 1.8873, 1.871, 1.8672, 1.8638, 1.8596, 1.8333, 1.8029, 1.7476, 1.7272, 1.679, 1.6545, 1.6345, 1.6165, 1.5937, 1.5836, 1.5402]"
pump,id_02,00000162.wav,normal,99.3162,EXCELLENT,8.3868,6.3297,0.517088,0.658856,0.594887,0.295977,0.424541,0.712143,"[82, 205, 201, 244, 165, 149, 171, 103, 153, 152, 225, 212, 238, 56, 187, 221, 58, 39, 29, 216]","[0.9797, 0.8153, 0.7856, 0.7774, 0.7478, 0.7408, 0.7315, 0.7289, 0.7261, 0.7098, 0.708, 0.7023, 0.6972, 0.6888, 0.6726, 0.6711, 0.6635, 0.6581, 0.6496, 0.6402]"
pump,id_02,00000726.wav,normal,98.0121,EXCELLENT,11.3321,11.9147,0.703104,0.682066,0.723822,0.451925,0.7382,0.352228,"[194, 134, 2, 139, 175, 15, 148, 142, 248, 28, 7, 187, 227, 168, 209, 27, 234, 133, 56, 40]","[1.8939, 1.8752, 1.695, 1.6514, 1.4965, 1.4782, 1.4654, 1.4124, 1.3964, 1.3875, 1.3763, 1.3691, 1.3465, 1.3365, 1.3322, 1.3089, 1.3033, 1.2876, 1.2674, 1.2345]"
pump,id_02,00000245.wav,normal,18.426,CRITICAL,32.5934,30.8384,0.618305,0.766575,0.931688,0.714891,1.036188,2.46108,"[84, 229, 199, 68, 33, 195, 239, 52, 5, 45, 241, 246, 74, 61, 129, 138, 191, 227, 2, 48]","[4.555, 3.978, 3.9624, 3.8561, 3.7851, 3.7023, 3.6814, 3.6173, 3.5988, 3.5942, 3.5459, 3.5417, 3.5005, 3.3915, 3.3859, 3.3536, 3.3259, 3.3174, 3.3114, 3.2651]"
pump,id_02,00000818.wav,normal,89.1618,GOOD,17.2387,23.4867,1.299238,0.808627,0.62916,1.592216,1.118331,1.277013,"[240, 150, 162, 70, 25, 30, 220, 75, 97, 231, 126, 121, 115, 245, 58, 152, 135, 154, 37, 64]","[3.5214, 3.4128, 3.3925, 3.3281, 3.2935, 3.1747, 3.0967, 3.0634, 2.9971, 2.9693, 2.95, 2.8854, 2.8592, 2.8508, 2.7611, 2.7359, 2.7325, 2.7107, 2.7002, 2.6778]"
pump,id_02,00000623.wav,normal,3.2275,CRITICAL,39.4211,30.5934,0.94614,0.858474,0.72531,1.969488,1.145443,0.820987,"[254, 65, 20, 151, 232, 72, 180, 179, 160, 237, 99, 59, 78, 113, 223, 195, 60, 192, 222, 172]","[4.8069, 4.6276, 4.4043, 4.1462, 3.7948, 3.623, 3.6177, 3.6113, 3.4513, 3.4483, 3.355, 3.3404, 3.3011, 3.2856, 3.2172, 3.2124, 3.1961, 3.1721, 3.1397, 3.1129]"
pump,id_02,00000645.wav,normal,98.0243,EXCELLENT,11.3138,11.775,0.54558,0.519258,0.698554,0.280716,0.685287,0.852566,"[28, 130, 15, 118, 128, 232, 18, 234, 247, 145, 142, 160, 42, 185, 222, 1, 146, 181, 186, 112]","[1.5643, 1.5012, 1.4977, 1.4922, 1.4624, 1.4399, 1.4271, 1.4016, 1.3989, 1.3986, 1.3659, 1.3556, 1.3373, 1.3294, 1.3228, 1.3193, 1.3126, 1.3109, 1.3053, 1.3013]"
pump,id_02,00000029.wav,normal,93.0874,EXCELLENT,15.4607,15.9816,1.223995,1.501709,1.460708,0.68148,0.723056,0.278517,"[42, 118, 234, 1, 172, 185, 222, 141, 18, 160, 207, 89, 242, 128, 228, 232, 104, 142, 57, 28]","[2.016, 2.001, 1.9912, 1.9854, 1.9636, 1.9627, 1.9458, 1.9435, 1.8831, 1.8685, 1.862, 1.8344, 1.8279, 1.7673, 1.7555, 1.7518, 1.7421, 1.7312, 1.7298, 1.7231]"
pump,id_02,00000124.wav,normal,99.5851,EXCELLENT,7.135,15.569,0.366921,0.48407,0.549162,0.634154,0.647826,1.010598,"[99, 120, 250, 127, 207, 154, 89, 162, 18, 25, 94, 104, 92, 132, 115, 20, 57, 144, 78, 169]","[1.9823, 1.9118, 1.8712, 1.7704, 1.7207, 1.6955, 1.6913, 1.6623, 1.6458, 1.63, 1.6218, 1.6187, 1.6074, 1.6054, 1.599, 1.5931, 1.5917, 1.5875, 1.5742, 1.5665]"
pump,id_02,00000496.wav,normal,40.7809,CRITICAL,27.8018,19.4436,0.93008,0.756117,0.504655,0.675687,2.005457,0.440708,"[161, 147, 218, 181, 206, 77, 111, 166, 247, 40, 108, 21, 10, 38, 63, 178, 236, 175, 210, 139]","[2.7956, 2.7591, 2.6025, 2.5246, 2.4584, 2.4486, 2.4473, 2.3545, 2.3414, 2.3279, 2.3098, 2.2939, 2.2884, 2.2727, 2.2708, 2.2601, 2.2588, 2.2485, 2.2311, 2.1706]"
pump,id_02,00000000.wav,abnormal,66.8015,WARNING,22.9991,18.159,0.952199,0.96894,1.114257,0.731023,0.426355,0.641653,"[188, 63, 111, 29, 203, 93, 55, 208, 41, 217, 178, 83, 38, 85, 129, 36, 206, 215, 197, 43]","[2.3783, 2.2958, 2.231, 2.2139, 2.1163, 2.0494, 2.0422, 2.0402, 2.0297, 2.0184, 1.968, 1.9672, 1.9178, 1.9077, 1.8964, 1.8961, 1.8822, 1.8756, 1.8356, 1.7926]"
pump,id_02,00000001.wav,abnormal,83.5529,GOOD,19.1014,16.6687,0.924774,0.687081,0.841819,0.513992,1.018427,0.834625,"[39, 86, 44, 23, 27, 143, 52, 61, 74, 95, 99, 73, 122, 132, 244, 153, 196, 19, 120, 4]","[1.9432, 1.8792, 1.8759, 1.8759, 1.8281, 1.8183, 1.8156, 1.7853, 1.777, 1.7756, 1.7733, 1.7636, 1.7245, 1.7157, 1.711, 1.6944, 1.6913, 1.6796, 1.6792, 1.6781]"
pump,id_02,00000002.wav,abnormal,77.034,GOOD,20.8012,22.0516,0.83984,0.90962,1.029179,0.539811,0.547127,0.640209,"[63, 188, 203, 206, 83, 111, 200, 127, 178, 190, 236, 204, 41, 43, 85, 29, 215, 217, 77, 147]","[2.8482, 2.6294, 2.6065, 2.5783, 2.5701, 2.5641, 2.4792, 2.4622, 2.3654, 2.3432, 2.3355, 2.3333, 2.3278, 2.314, 2.3062, 2.2821, 2.2774, 2.2326, 2.2068, 2.2007]"
pump,id_02,00000003.wav,abnormal,97.801,EXCELLENT,11.634,11.0359,1.12492,1.007577,0.99387,0.613569,0.890211,1.090441,"[233, 62, 42, 193, 129, 1, 185, 89, 104, 222, 241, 57, 118, 172, 18, 106, 22, 136, 141, 94]","[1.6915, 1.565, 1.5131, 1.4496, 1.4192, 1.3937, 1.384, 1.3548, 1.3218, 1.293, 1.2457, 1.2421, 1.2283, 1.2237, 1.212, 1.1976, 1.1895, 1.1799, 1.1712, 1.1641]"
pump,id_02,00000004.wav,abnormal,67.1747,WARNING,22.925,21.5655,0.867137,0.922341,1.064646,0.558697,0.586631,0.641674,"[63, 188, 43, 83, 85, 211, 41, 35, 71, 217, 127, 7, 101, 200, 203, 159, 79, 190, 158, 204]","[2.9235, 2.7565, 2.6812, 2.6335, 2.5969, 2.5533, 2.404, 2.3847, 2.346, 2.342, 2.3323, 2.3254, 2.3236, 2.2891, 2.2867, 2.2801, 2.2755, 2.2732, 2.2656, 2.2633]"
pump,id_02,00000005.wav,abnormal,70.5386,WARNING,22.24,19.3226,0.584287,0.707156,0.766662,0.691294,0.547464,0.446766,"[188, 178, 63, 83, 85, 71, 206, 43, 10, 111, 147, 41, 29, 137, 38, 217, 55, 161, 130, 236]","[2.5682, 2.5399, 2.5394, 2.4088, 2.3979, 2.2683, 2.2489, 2.186, 2.1618, 2.1405, 2.1211, 2.1055, 2.0963, 2.0789, 2.0744, 2.066, 2.0046, 1.9894, 1.954, 1.9451]"
pump,id_02,00000006.wav,abnormal,30.1138,CRITICAL,29.8733,38.5757,0.684468,0.887136,0.887631,0.945944,1.31001,1.182422,"[218, 84, 102, 62, 195, 81, 47, 68, 77, 161, 206, 40, 82, 109, 108, 54, 241, 174, 31, 111]","[5.3304, 5.0591, 5.0065, 4.9146, 4.8847, 4.8771, 4.8497, 4.6781, 4.5795, 4.528, 4.494, 4.4457, 4.4131, 4.3869, 4.3824, 4.3028, 4.2948, 4.2821, 4.2774, 4.2698]"
pump,id_02,00000007.wav,abnormal,39.8943,CRITICAL,27.9666,14.9461,1.159053,1.056902,0.980476,0.669549,1.284318,0.680811,"[188, 129, 208, 217, 55, 167, 36, 85, 41, 29, 48, 197, 243, 0, 93, 9, 136, 158, 125, 83]","[1.8692, 1.8675, 1.804, 1.7525, 1.7482, 1.7066, 1.7031, 1.6964, 1.6901, 1.6706, 1.6663, 1.649, 1.5752, 1.5588, 1.5398, 1.5102, 1.4987, 1.4924, 1.4903, 1.4864]"
pump,id_02,00000008.wav,abnormal,54.9593,WARNING,25.2278,23.4113,1.423583,1.117385,0.975312,1.06377,1.584254,1.143537,"[219, 69, 164, 187, 213, 93, 142, 173, 65, 8, 34, 109, 228, 168, 211, 148, 166, 98, 54, 44]","[3.6423, 3.5209, 3.2056, 2.9199, 2.917, 2.711, 2.7033, 2.6641, 2.6434, 2.612, 2.6043, 2.5624, 2.4333, 2.433, 2.4049, 2.3781, 2.3729, 2.3659, 2.3636, 2.3245]"
